counts,number of items in equivalence class,isoforms in equivalence class
2608,9,"ENST00000422465,ENST00000524851,ENST00000526248,ENST00000527446,ENST00000528847,ENST00000530164,ENST00000530170,ENST00000530721,ENST00000531188"
2542,3,"ENST00000398603,ENST00000398606,ENST00000498765"
2531,2,"ENST00000257261,ENST00000278840"
2530,1,ENST00000301785
2511,7,"ENST00000227378,ENST00000524552,ENST00000526110,ENST00000532636,ENST00000533540,ENST00000534319,ENST00000534624"
2507,2,"ENST00000322535,ENST00000528302"
2497,3,"ENST00000322535,ENST00000528302,ENST00000530981"
2481,2,"ENST00000287156,ENST00000340573"
2470,7,"ENST00000227378,ENST00000453788,ENST00000526110,ENST00000532636,ENST00000533540,ENST00000534319,ENST00000534624"
2448,2,"ENST00000257829,ENST00000531159"
2436,1,ENST00000379719
2418,1,ENST00000300146
2408,1,ENST00000311481
2407,4,"ENST00000273550,ENST00000530019,ENST00000532829,ENST00000620041"
2382,9,"ENST00000278572,ENST00000422465,ENST00000524851,ENST00000526608,ENST00000527273,ENST00000527446,ENST00000528847,ENST00000530721,ENST00000531188"
2353,5,"ENST00000312989,ENST00000358239,ENST00000376745,ENST00000527663,ENST00000679175"
2339,5,"ENST00000339995,ENST00000396525,ENST00000525681,ENST00000526148,ENST00000528839"
2315,1,ENST00000620041
2302,8,"ENST00000314138,ENST00000524496,ENST00000525981,ENST00000526562,ENST00000530022,ENST00000530913,ENST00000532359,ENST00000534599"
2290,4,"ENST00000396394,ENST00000418988,ENST00000530457,ENST00000555531"
2263,6,"ENST00000379412,ENST00000422447,ENST00000430553,ENST00000540430,ENST00000542179,ENST00000545215"
2237,4,"ENST00000351018,ENST00000396978,ENST00000396979,ENST00000533217"
2203,1,ENST00000531978
2176,2,"ENST00000524851,ENST00000525933"
2171,1,ENST00000321153
2152,2,"ENST00000249923,ENST00000439561"
2135,2,"ENST00000278590,ENST00000453089"
2130,3,"ENST00000263464,ENST00000526421,ENST00000673846"
2111,10,"ENST00000227157,ENST00000379412,ENST00000396222,ENST00000422447,ENST00000478970,ENST00000486690,ENST00000540430,ENST00000542179,ENST00000543445,ENST00000545215"
2107,7,"ENST00000308162,ENST00000524553,ENST00000525451,ENST00000527344,ENST00000531407,ENST00000531413,ENST00000534769"
2104,3,"ENST00000305218,ENST00000358794,ENST00000538945"
2056,3,"ENST00000392668,ENST00000526145,ENST00000535549"
2054,6,"ENST00000227157,ENST00000379412,ENST00000422447,ENST00000430553,ENST00000540430,ENST00000545215"
2050,8,"ENST00000311604,ENST00000381775,ENST00000405957,ENST00000406638,ENST00000417766,ENST00000432093,ENST00000457279,ENST00000612798"
2017,2,"ENST00000392668,ENST00000535549"
1935,1,ENST00000228136
1911,1,ENST00000263773
1905,4,"ENST00000392708,ENST00000529196,ENST00000531491,ENST00000649491"
1900,1,ENST00000361367
1887,1,ENST00000227155
1853,13,"ENST00000227378,ENST00000453788,ENST00000524590,ENST00000525624,ENST00000526110,ENST00000527387,ENST00000528292,ENST00000530391,ENST00000532182,ENST00000532636,ENST00000533540,ENST00000534567,ENST00000534624"
1847,6,"ENST00000345732,ENST00000389939,ENST00000532073,ENST00000533306,ENST00000534668,ENST00000674194"
1847,1,ENST00000316059
1829,3,"ENST00000310473,ENST00000536983,ENST00000663595"
1829,2,"ENST00000375167,ENST00000530167"
1819,1,ENST00000312397
1815,1,ENST00000524496
1811,1,ENST00000341394
1775,3,"ENST00000264028,ENST00000359415,ENST00000534182"
1758,2,"ENST00000328257,ENST00000398427"
1755,5,"ENST00000339995,ENST00000396525,ENST00000525681,ENST00000526148,ENST00000531180"
1751,1,ENST00000329251
1742,26,"ENST00000328221,ENST00000408968,ENST00000528780,ENST00000679353,ENST00000679380,ENST00000679765,ENST00000679982,ENST00000680299,ENST00000680310,ENST00000680342,ENST00000680588,ENST00000680696,ENST00000680699,ENST00000680802,ENST00000680855,ENST00000680870,ENST00000680938,ENST00000681111,ENST00000681180,ENST00000681350,ENST00000681426,ENST00000681577,ENST00000681702,ENST00000681761,ENST00000681821,ENST00000681938"
1741,4,"ENST00000526555,ENST00000527548,ENST00000529639,ENST00000531743"
