counts,number of items in equivalence class,isoforms in equivalence class
214,3,"ENST00000298229,ENST00000538751,ENST00000540329"
214,6,"ENST00000324932,ENST00000355260,ENST00000359171,ENST00000429801,ENST00000524563,ENST00000650171"
214,5,"ENST00000227503,ENST00000334944,ENST00000377390,ENST00000377394,ENST00000448404"
214,27,"ENST00000278520,ENST00000423339,ENST00000530106,ENST00000530203,ENST00000538597,ENST00000643839,ENST00000644686,ENST00000645366,ENST00000645439,ENST00000645500,ENST00000646050,ENST00000646638,ENST00000646818,ENST00000647080,ENST00000679616,ENST00000679708,ENST00000679788,ENST00000679856,ENST00000679960,ENST00000680052,ENST00000680171,ENST00000680728,ENST00000680763,ENST00000680859,ENST00000680979,ENST00000681164,ENST00000681451"
214,5,"ENST00000301788,ENST00000524819,ENST00000525455,ENST00000531944,ENST00000531996"
214,9,"ENST00000227503,ENST00000334944,ENST00000377387,ENST00000377390,ENST00000377394,ENST00000413951,ENST00000432725,ENST00000433274,ENST00000681407"
213,5,"ENST00000325207,ENST00000524854,ENST00000526104,ENST00000527696,ENST00000529275"
212,7,"ENST00000375549,ENST00000526592,ENST00000528021,ENST00000528182,ENST00000530923,ENST00000531744,ENST00000532699"
212,2,"ENST00000358252,ENST00000532437"
212,1,ENST00000531709
212,4,"ENST00000309657,ENST00000524506,ENST00000524849,ENST00000525356"
211,6,"ENST00000299492,ENST00000528883,ENST00000530181,ENST00000533792,ENST00000684123,ENST00000684215"
211,3,"ENST00000531863,ENST00000532677,ENST00000541961"
210,2,"ENST00000375300,ENST00000445177"
210,4,"ENST00000294172,ENST00000527902,ENST00000531709,ENST00000532297"
210,3,"ENST00000352303,ENST00000529372,ENST00000532097"
209,12,"ENST00000263398,ENST00000278386,ENST00000352818,ENST00000415148,ENST00000425428,ENST00000428726,ENST00000433892,ENST00000434472,ENST00000442151,ENST00000525211,ENST00000526025,ENST00000526669"
209,3,"ENST00000312515,ENST00000376991,ENST00000525501"
209,7,"ENST00000311161,ENST00000357440,ENST00000540386,ENST00000541567,ENST00000544554,ENST00000546034,ENST00000619145"
209,5,"ENST00000298281,ENST00000530304,ENST00000530660,ENST00000533018,ENST00000690938"
208,5,"ENST00000530165,ENST00000531863,ENST00000532677,ENST00000533725,ENST00000541961"
208,3,"ENST00000263774,ENST00000528192,ENST00000534208"
207,5,"ENST00000278174,ENST00000525108,ENST00000527102,ENST00000528120,ENST00000530907"
207,4,"ENST00000395290,ENST00000531165,ENST00000532048,ENST00000687097"
207,7,"ENST00000399817,ENST00000527146,ENST00000602569,ENST00000616316,ENST00000680261,ENST00000680344,ENST00000681833"
207,3,"ENST00000301488,ENST00000531178,ENST00000531506"
207,4,"ENST00000294161,ENST00000316461,ENST00000530625,ENST00000532583"
207,5,"ENST00000419348,ENST00000421577,ENST00000443524,ENST00000451739,ENST00000531058"
207,8,"ENST00000298852,ENST00000527906,ENST00000530651,ENST00000530887,ENST00000530912,ENST00000531051,ENST00000602866,ENST00000619920"
207,8,"ENST00000346178,ENST00000356638,ENST00000526210,ENST00000529737,ENST00000532402,ENST00000534613,ENST00000540933,ENST00000648273"
207,12,"ENST00000278572,ENST00000524851,ENST00000526248,ENST00000526608,ENST00000527273,ENST00000527446,ENST00000528439,ENST00000530164,ENST00000530721,ENST00000531188,ENST00000532872,ENST00000534440"
206,1,ENST00000529230
206,12,"ENST00000392841,ENST00000442944,ENST00000537841,ENST00000542729,ENST00000543090,ENST00000544387,ENST00000640813,ENST00000648026,ENST00000648374,ENST00000650101,ENST00000652429,ENST00000686218"
206,1,ENST00000356136
205,13,"ENST00000526656,ENST00000527038,ENST00000530467,ENST00000530473,ENST00000532421,ENST00000532519,ENST00000534233,ENST00000610597,ENST00000612687,ENST00000614711,ENST00000617285,ENST00000621959,ENST00000652093"
205,7,"ENST00000396553,ENST00000396554,ENST00000444303,ENST00000528723,ENST00000529507,ENST00000529834,ENST00000534047"
204,2,"ENST00000375549,ENST00000528048"
204,5,"ENST00000294172,ENST00000530875,ENST00000531131,ENST00000531709,ENST00000532297"
204,1,ENST00000325212
204,10,"ENST00000436863,ENST00000446369,ENST00000525825,ENST00000526568,ENST00000527979,ENST00000528974,ENST00000529871,ENST00000532439,ENST00000533400,ENST00000534497"
204,11,"ENST00000265636,ENST00000265637,ENST00000393800,ENST00000393801,ENST00000524845,ENST00000524904,ENST00000525421,ENST00000527403,ENST00000529710,ENST00000534190,ENST00000534534"
204,3,"ENST00000278187,ENST00000454584,ENST00000524701"
204,10,"ENST00000263398,ENST00000278385,ENST00000279452,ENST00000415148,ENST00000425428,ENST00000428726,ENST00000433892,ENST00000434472,ENST00000442151,ENST00000525688"
203,6,"ENST00000294119,ENST00000301935,ENST00000529640,ENST00000533000,ENST00000534176,ENST00000616865"
203,5,"ENST00000227758,ENST00000530675,ENST00000532672,ENST00000533742,ENST00000613397"
202,3,"ENST00000322535,ENST00000524627,ENST00000528302"
202,7,"ENST00000260247,ENST00000525420,ENST00000527576,ENST00000527779,ENST00000529281,ENST00000531543,ENST00000531571"
202,4,"ENST00000278671,ENST00000535872,ENST00000538404,ENST00000545249"
201,1,ENST00000257262
201,5,"ENST00000341356,ENST00000393893,ENST00000537042,ENST00000616321,ENST00000627576"
201,6,"ENST00000278671,ENST00000535107,ENST00000535872,ENST00000538404,ENST00000544594,ENST00000545249"
201,7,"ENST00000332231,ENST00000448903,ENST00000528815,ENST00000687792,ENST00000687890,ENST00000688963,ENST00000693238"
200,1,ENST00000526995
200,4,"ENST00000284290,ENST00000441174,ENST00000529543,ENST00000530731"
200,4,"ENST00000265963,ENST00000453096,ENST00000524753,ENST00000534641"
200,3,"ENST00000316461,ENST00000532276,ENST00000532583"
200,2,"ENST00000300747,ENST00000531101"
200,4,"ENST00000300737,ENST00000526596,ENST00000533977,ENST00000616714"
200,2,"ENST00000529635,ENST00000542590"
200,2,"ENST00000375549,ENST00000525291"
199,3,"ENST00000308436,ENST00000476907,ENST00000496634"
199,39,"ENST00000358694,ENST00000361332,ENST00000361391,ENST00000361796,ENST00000399050,ENST00000415361,ENST00000426142,ENST00000428599,ENST00000524630,ENST00000525902,ENST00000526357,ENST00000526772,ENST00000526938,ENST00000527467,ENST00000528232,ENST00000528621,ENST00000529526,ENST00000529873,ENST00000529919,ENST00000529986,ENST00000530094,ENST00000530748,ENST00000531007,ENST00000531014,ENST00000532245,ENST00000532463,ENST00000532649,ENST00000532787,ENST00000532844,ENST00000533667,ENST00000534579,ENST00000673683,ENST00000673781,ENST00000673810,ENST00000673826,ENST00000674015,ENST00000674060,ENST00000674106,ENST00000674116"
198,1,ENST00000378460
198,2,"ENST00000265909,ENST00000533214"
197,12,"ENST00000339995,ENST00000396525,ENST00000524932,ENST00000525681,ENST00000526148,ENST00000527526,ENST00000530211,ENST00000530702,ENST00000531416,ENST00000531647,ENST00000532082,ENST00000532570"
197,3,"ENST00000379965,ENST00000414641,ENST00000454828"
196,13,"ENST00000263398,ENST00000278386,ENST00000352818,ENST00000415148,ENST00000425428,ENST00000428726,ENST00000433892,ENST00000434472,ENST00000442151,ENST00000525211,ENST00000526000,ENST00000526025,ENST00000526669"
196,5,"ENST00000397582,ENST00000397583,ENST00000414138,ENST00000431809,ENST00000454668"
196,8,"ENST00000352303,ENST00000382671,ENST00000431206,ENST00000525665,ENST00000526783,ENST00000528906,ENST00000529372,ENST00000532097"
196,4,"ENST00000398606,ENST00000495996,ENST00000498765,ENST00000646888"
196,10,"ENST00000393301,ENST00000524463,ENST00000528020,ENST00000529974,ENST00000677106,ENST00000677468,ENST00000677796,ENST00000677877,ENST00000677976,ENST00000679032"
196,6,"ENST00000341356,ENST00000393893,ENST00000537042,ENST00000545016,ENST00000616321,ENST00000627576"
196,1,ENST00000257245
196,6,"ENST00000227503,ENST00000334944,ENST00000377387,ENST00000377390,ENST00000433274,ENST00000681407"
195,11,"ENST00000227157,ENST00000379412,ENST00000396222,ENST00000422447,ENST00000478970,ENST00000486690,ENST00000540430,ENST00000542179,ENST00000543445,ENST00000543695,ENST00000545215"
195,3,"ENST00000227758,ENST00000532672,ENST00000613397"
195,1,ENST00000648516
195,11,"ENST00000256196,ENST00000414023,ENST00000526063,ENST00000526717,ENST00000529237,ENST00000531421,ENST00000531807,ENST00000532814,ENST00000532950,ENST00000534746,ENST00000537760"
195,4,"ENST00000256196,ENST00000414023,ENST00000529237,ENST00000537760"
195,4,"ENST00000263309,ENST00000525064,ENST00000525428,ENST00000526009"
195,2,"ENST00000322535,ENST00000530322"
194,10,"ENST00000354420,ENST00000356187,ENST00000397604,ENST00000397614,ENST00000397615,ENST00000438658,ENST00000525701,ENST00000529115,ENST00000533410,ENST00000534797"
194,2,"ENST00000389645,ENST00000530820"
194,28,"ENST00000358694,ENST00000361332,ENST00000361391,ENST00000361796,ENST00000399050,ENST00000415361,ENST00000426142,ENST00000428599,ENST00000524630,ENST00000525902,ENST00000526357,ENST00000526772,ENST00000527467,ENST00000528232,ENST00000528621,ENST00000529526,ENST00000529873,ENST00000529986,ENST00000530094,ENST00000530748,ENST00000531014,ENST00000532245,ENST00000532463,ENST00000532649,ENST00000532787,ENST00000532844,ENST00000533667,ENST00000534579"
194,4,"ENST00000265471,ENST00000531383,ENST00000532585,ENST00000534026"
194,8,"ENST00000339995,ENST00000396525,ENST00000524932,ENST00000525681,ENST00000526148,ENST00000531416,ENST00000532082,ENST00000534605"
194,4,"ENST00000308110,ENST00000524647,ENST00000529742,ENST00000533035"
193,3,"ENST00000324932,ENST00000359171,ENST00000650171"
193,3,"ENST00000356438,ENST00000425380,ENST00000526028"
193,4,"ENST00000313468,ENST00000525419,ENST00000526339,ENST00000526446"
193,8,"ENST00000334211,ENST00000359373,ENST00000393605,ENST00000393609,ENST00000426523,ENST00000427971,ENST00000429686,ENST00000452383"
192,8,"ENST00000313468,ENST00000453471,ENST00000525419,ENST00000525628,ENST00000526339,ENST00000526446,ENST00000529645,ENST00000531228"
192,5,"ENST00000358867,ENST00000393375,ENST00000526822,ENST00000529197,ENST00000534341"
192,22,"ENST00000338663,ENST00000377889,ENST00000377890,ENST00000377891,ENST00000535296,ENST00000538084,ENST00000539458,ENST00000541425,ENST00000544377,ENST00000679908,ENST00000680002,ENST00000680134,ENST00000680297,ENST00000680610,ENST00000680631,ENST00000680725,ENST00000680729,ENST00000681107,ENST00000681232,ENST00000681467,ENST00000681569,ENST00000681657"
191,3,"ENST00000323981,ENST00000393259,ENST00000526015"
191,11,"ENST00000227378,ENST00000453788,ENST00000525463,ENST00000525624,ENST00000527387,ENST00000528292,ENST00000532182,ENST00000532636,ENST00000534319,ENST00000534567,ENST00000534624"
191,7,"ENST00000263360,ENST00000327320,ENST00000351625,ENST00000527888,ENST00000528180,ENST00000672825,ENST00000673233"
191,5,"ENST00000294119,ENST00000301935,ENST00000533000,ENST00000534176,ENST00000616865"
191,13,"ENST00000343631,ENST00000358681,ENST00000395673,ENST00000533608,ENST00000682359,ENST00000682711,ENST00000682815,ENST00000682993,ENST00000683000,ENST00000683870,ENST00000684039,ENST00000684124,ENST00000684533"
190,5,"ENST00000257262,ENST00000537328,ENST00000541893,ENST00000543510,ENST00000545210"
190,2,"ENST00000376901,ENST00000471387"
190,4,"ENST00000227322,ENST00000429220,ENST00000444935,ENST00000449430"
190,10,"ENST00000318201,ENST00000343674,ENST00000421244,ENST00000454345,ENST00000456247,ENST00000524869,ENST00000524984,ENST00000527911,ENST00000528615,ENST00000532868"
189,4,"ENST00000375300,ENST00000415541,ENST00000445177,ENST00000446921"
189,1,ENST00000307980
188,9,"ENST00000352187,ENST00000395123,ENST00000395124,ENST00000525474,ENST00000529112,ENST00000529113,ENST00000529554,ENST00000530005,ENST00000533524"
188,4,"ENST00000525064,ENST00000525428,ENST00000527133,ENST00000528364"
187,1,ENST00000265689
186,4,"ENST00000379965,ENST00000414897,ENST00000450670,ENST00000454828"
186,1,ENST00000320631
186,1,ENST00000422447
186,3,"ENST00000323646,ENST00000415826,ENST00000639271"
185,2,"ENST00000358780,ENST00000398187"
185,1,ENST00000328697
185,11,"ENST00000525964,ENST00000530396,ENST00000534532,ENST00000534548,ENST00000685324,ENST00000688263,ENST00000688672,ENST00000689205,ENST00000689387,ENST00000690149,ENST00000690743"
184,6,"ENST00000334944,ENST00000377390,ENST00000413725,ENST00000433274,ENST00000486867,ENST00000681407"
184,4,"ENST00000054950,ENST00000527337,ENST00000528630,ENST00000532942"
183,4,"ENST00000312515,ENST00000525501,ENST00000527119,ENST00000532933"
183,4,"ENST00000349215,ENST00000396253,ENST00000438420,ENST00000537258"
183,4,"ENST00000320580,ENST00000524815,ENST00000529757,ENST00000531597"
183,4,"ENST00000324932,ENST00000355260,ENST00000359171,ENST00000650171"
183,5,"ENST00000341318,ENST00000352980,ENST00000377046,ENST00000530446,ENST00000534650"
183,4,"ENST00000330243,ENST00000397566,ENST00000525445,ENST00000528413"
183,3,"ENST00000227163,ENST00000378538,ENST00000533968"
182,8,"ENST00000322536,ENST00000648124,ENST00000686283,ENST00000686617,ENST00000687072,ENST00000688583,ENST00000688976,ENST00000690021"
182,5,"ENST00000260058,ENST00000490820,ENST00000525639,ENST00000527447,ENST00000682836"
181,2,"ENST00000228136,ENST00000528634"
181,1,ENST00000539814
181,5,"ENST00000313468,ENST00000453471,ENST00000525628,ENST00000526339,ENST00000531228"
181,8,"ENST00000227155,ENST00000342935,ENST00000524704,ENST00000525210,ENST00000525813,ENST00000526958,ENST00000527737,ENST00000532544"
180,7,"ENST00000348655,ENST00000469048,ENST00000525445,ENST00000532326,ENST00000533182,ENST00000533190,ENST00000649187"
180,2,"ENST00000278823,ENST00000527204"
180,13,"ENST00000526656,ENST00000527038,ENST00000530473,ENST00000531968,ENST00000532421,ENST00000532519,ENST00000534233,ENST00000543287,ENST00000612687,ENST00000614711,ENST00000617285,ENST00000621959,ENST00000652093"
180,1,ENST00000433688
179,3,"ENST00000341541,ENST00000392594,ENST00000392595"
179,2,"ENST00000301886,ENST00000377244"
179,2,"ENST00000308488,ENST00000480887"
179,1,ENST00000532073
179,8,"ENST00000278845,ENST00000394773,ENST00000394776,ENST00000439994,ENST00000494176,ENST00000494448,ENST00000529309,ENST00000531557"
179,1,ENST00000392668
179,3,"ENST00000294064,ENST00000531509,ENST00000532963"
179,2,"ENST00000282032,ENST00000530909"
178,2,"ENST00000309032,ENST00000394532"
178,7,"ENST00000265636,ENST00000265637,ENST00000393800,ENST00000393801,ENST00000524904,ENST00000527403,ENST00000534534"
178,6,"ENST00000389506,ENST00000531904,ENST00000534358,ENST00000648261,ENST00000649699,ENST00000691053"
178,3,"ENST00000304271,ENST00000527280,ENST00000533310"
177,3,"ENST00000337672,ENST00000431606,ENST00000645681"
177,5,"ENST00000322008,ENST00000397420,ENST00000397421,ENST00000528011,ENST00000530726"
177,13,"ENST00000301764,ENST00000535283,ENST00000539426,ENST00000540166,ENST00000542337,ENST00000679588,ENST00000679712,ENST00000680357,ENST00000680367,ENST00000680602,ENST00000681188,ENST00000681803,ENST00000681935"
176,6,"ENST00000304538,ENST00000358825,ENST00000360871,ENST00000423662,ENST00000526082,ENST00000528746"
176,3,"ENST00000317204,ENST00000525159,ENST00000527886"
176,2,"ENST00000393259,ENST00000526015"
176,13,"ENST00000301764,ENST00000540166,ENST00000542337,ENST00000543658,ENST00000679712,ENST00000680075,ENST00000680357,ENST00000680367,ENST00000680602,ENST00000680717,ENST00000681188,ENST00000681803,ENST00000681935"
176,6,"ENST00000331239,ENST00000354421,ENST00000528099,ENST00000528288,ENST00000540113,ENST00000617482"
175,8,"ENST00000328221,ENST00000399808,ENST00000399815,ENST00000408968,ENST00000526811,ENST00000528780,ENST00000602735,ENST00000680588"
175,1,ENST00000396197
175,2,"ENST00000376745,ENST00000527663"
175,4,"ENST00000279242,ENST00000526319,ENST00000533943,ENST00000534078"
175,2,"ENST00000278426,ENST00000528450"
175,2,"ENST00000532425,ENST00000616540"
175,2,"ENST00000530401,ENST00000534136"
174,8,"ENST00000227378,ENST00000453788,ENST00000525463,ENST00000525624,ENST00000528292,ENST00000532636,ENST00000534319,ENST00000534624"
174,12,"ENST00000301764,ENST00000535283,ENST00000539426,ENST00000540166,ENST00000679588,ENST00000679712,ENST00000680357,ENST00000680367,ENST00000680602,ENST00000681188,ENST00000681803,ENST00000681935"
174,1,ENST00000532359
174,3,"ENST00000263672,ENST00000526361,ENST00000530257"
174,8,"ENST00000236671,ENST00000367196,ENST00000429746,ENST00000433655,ENST00000636571,ENST00000637815,ENST00000637915,ENST00000678991"
174,1,ENST00000299240
173,5,"ENST00000343597,ENST00000411426,ENST00000529618,ENST00000534403,ENST00000620384"
173,2,"ENST00000264028,ENST00000534182"
173,4,"ENST00000362034,ENST00000450904,ENST00000544567,ENST00000567045"
173,1,ENST00000312175
173,6,"ENST00000278568,ENST00000356341,ENST00000527457,ENST00000528203,ENST00000530617,ENST00000533285"
173,2,"ENST00000278612,ENST00000527296"
171,6,"ENST00000310092,ENST00000408993,ENST00000409406,ENST00000412278,ENST00000421355,ENST00000510173"
171,6,"ENST00000317459,ENST00000394546,ENST00000394547,ENST00000541278,ENST00000545812,ENST00000546089"
171,6,"ENST00000397582,ENST00000397583,ENST00000414138,ENST00000431809,ENST00000454668,ENST00000531112"
171,1,ENST00000311181
171,3,"ENST00000301770,ENST00000335613,ENST00000535710"
171,2,"ENST00000525451,ENST00000526975"
170,2,"ENST00000587424,ENST00000638426"
170,7,"ENST00000270176,ENST00000420247,ENST00000524944,ENST00000525364,ENST00000527009,ENST00000528545,ENST00000533862"
170,2,"ENST00000676885,ENST00000677673"
170,6,"ENST00000311172,ENST00000409314,ENST00000409418,ENST00000409853,ENST00000432043,ENST00000458644"
169,13,"ENST00000280346,ENST00000393051,ENST00000679368,ENST00000679614,ENST00000679815,ENST00000679878,ENST00000680010,ENST00000680331,ENST00000680411,ENST00000681316,ENST00000681328,ENST00000681339,ENST00000681638"
169,3,"ENST00000265686,ENST00000529364,ENST00000532635"
168,4,"ENST00000345732,ENST00000389939,ENST00000532491,ENST00000534668"
168,6,"ENST00000260058,ENST00000490820,ENST00000525639,ENST00000527447,ENST00000527529,ENST00000682836"
168,5,"ENST00000263464,ENST00000526421,ENST00000527309,ENST00000532808,ENST00000615299"
168,4,"ENST00000308488,ENST00000480887,ENST00000526324,ENST00000528095"
168,1,ENST00000544490
168,7,"ENST00000278568,ENST00000356341,ENST00000527457,ENST00000527535,ENST00000528203,ENST00000530617,ENST00000533285"
168,34,"ENST00000358694,ENST00000361332,ENST00000361391,ENST00000361796,ENST00000399050,ENST00000415361,ENST00000426142,ENST00000428599,ENST00000524630,ENST00000526357,ENST00000526938,ENST00000528232,ENST00000528621,ENST00000529526,ENST00000529873,ENST00000529919,ENST00000529986,ENST00000530094,ENST00000530748,ENST00000531007,ENST00000532245,ENST00000532463,ENST00000532649,ENST00000532787,ENST00000532844,ENST00000534579,ENST00000673683,ENST00000673781,ENST00000673810,ENST00000673826,ENST00000674015,ENST00000674060,ENST00000674106,ENST00000674116"
167,6,"ENST00000278903,ENST00000531636,ENST00000534546,ENST00000615917,ENST00000618552,ENST00000620753"
167,2,"ENST00000325207,ENST00000526104"
167,1,ENST00000227507
167,7,"ENST00000422465,ENST00000525690,ENST00000526248,ENST00000528439,ENST00000530721,ENST00000531188,ENST00000532872"
167,7,"ENST00000380027,ENST00000380034,ENST00000396847,ENST00000412903,ENST00000433961,ENST00000682968,ENST00000684655"
166,5,"ENST00000311172,ENST00000409263,ENST00000409314,ENST00000409418,ENST00000458644"
166,3,"ENST00000525064,ENST00000525428,ENST00000528364"
166,2,"ENST00000310046,ENST00000525754"
166,2,"ENST00000282096,ENST00000455098"
166,5,"ENST00000352303,ENST00000382671,ENST00000525665,ENST00000529372,ENST00000532097"
166,18,"ENST00000352187,ENST00000395123,ENST00000395124,ENST00000524863,ENST00000525474,ENST00000526621,ENST00000528187,ENST00000529112,ENST00000529494,ENST00000529554,ENST00000529896,ENST00000530005,ENST00000530316,ENST00000532795,ENST00000533051,ENST00000533235,ENST00000533245,ENST00000533524"
166,6,"ENST00000332231,ENST00000448903,ENST00000528815,ENST00000687792,ENST00000687890,ENST00000693238"
165,4,"ENST00000312055,ENST00000354558,ENST00000526496,ENST00000529230"
165,1,ENST00000254605
165,3,"ENST00000438015,ENST00000532449,ENST00000534070"
165,5,"ENST00000380542,ENST00000448187,ENST00000492685,ENST00000526115,ENST00000620138"
164,6,"ENST00000311129,ENST00000341980,ENST00000393055,ENST00000426998,ENST00000527614,ENST00000534521"
164,1,ENST00000263401
164,1,ENST00000396394
164,15,"ENST00000351554,ENST00000395850,ENST00000415002,ENST00000426650,ENST00000437761,ENST00000445143,ENST00000525763,ENST00000527577,ENST00000533181,ENST00000533403,ENST00000642928,ENST00000651485,ENST00000651785,ENST00000652086,ENST00000652678"
164,7,"ENST00000314845,ENST00000458649,ENST00000526545,ENST00000528950,ENST00000533727,ENST00000534300,ENST00000683756"
164,3,"ENST00000064778,ENST00000356467,ENST00000450446"
164,4,"ENST00000524896,ENST00000525782,ENST00000526267,ENST00000531120"
164,1,ENST00000527447
164,9,"ENST00000265838,ENST00000531813,ENST00000672008,ENST00000672031,ENST00000672284,ENST00000672354,ENST00000672367,ENST00000672907,ENST00000673531"
163,3,"ENST00000318950,ENST00000447399,ENST00000526358"
163,10,"ENST00000278243,ENST00000300730,ENST00000396986,ENST00000396991,ENST00000396993,ENST00000477358,ENST00000493547,ENST00000496834,ENST00000528216,ENST00000532523"
162,7,"ENST00000265838,ENST00000672284,ENST00000672354,ENST00000672367,ENST00000672580,ENST00000672907,ENST00000673531"
162,5,"ENST00000323981,ENST00000393259,ENST00000526015,ENST00000527169,ENST00000540232"
162,1,ENST00000309422
162,2,"ENST00000525842,ENST00000527478"
162,4,"ENST00000000442,ENST00000405666,ENST00000406310,ENST00000677967"
162,21,"ENST00000338663,ENST00000377889,ENST00000377890,ENST00000377891,ENST00000535296,ENST00000536981,ENST00000538084,ENST00000541425,ENST00000544377,ENST00000679908,ENST00000680134,ENST00000680297,ENST00000680610,ENST00000680631,ENST00000680725,ENST00000680729,ENST00000681107,ENST00000681232,ENST00000681467,ENST00000681569,ENST00000681657"
161,1,ENST00000524552
161,12,"ENST00000263398,ENST00000279452,ENST00000352818,ENST00000415148,ENST00000428726,ENST00000433892,ENST00000434472,ENST00000442151,ENST00000525211,ENST00000526000,ENST00000526669,ENST00000527889"
161,4,"ENST00000263645,ENST00000481687,ENST00000492627,ENST00000526072"
161,2,"ENST00000334205,ENST00000528057"
161,1,ENST00000300738
160,3,"ENST00000260210,ENST00000375445,ENST00000419189"
159,3,"ENST00000039989,ENST00000299240,ENST00000534347"
159,4,"ENST00000263309,ENST00000525428,ENST00000527133,ENST00000528364"
159,4,"ENST00000319023,ENST00000525200,ENST00000525593,ENST00000530055"
159,4,"ENST00000227868,ENST00000430469,ENST00000448838,ENST00000526309"
159,2,"ENST00000394900,ENST00000529479"
159,9,"ENST00000399817,ENST00000527146,ENST00000533141,ENST00000602569,ENST00000616316,ENST00000680197,ENST00000680261,ENST00000680344,ENST00000681833"
158,5,"ENST00000314845,ENST00000458649,ENST00000533727,ENST00000534300,ENST00000683756"
158,3,"ENST00000354884,ENST00000362021,ENST00000524928"
158,9,"ENST00000339995,ENST00000396525,ENST00000524932,ENST00000525681,ENST00000526148,ENST00000527419,ENST00000531416,ENST00000532082,ENST00000534605"
158,6,"ENST00000362034,ENST00000450904,ENST00000541265,ENST00000541279,ENST00000565125,ENST00000567045"
157,5,"ENST00000320585,ENST00000457199,ENST00000525317,ENST00000529726,ENST00000529987"
157,2,"ENST00000323213,ENST00000533439"
157,6,"ENST00000278951,ENST00000324225,ENST00000431081,ENST00000524842,ENST00000620360,ENST00000628876"
157,4,"ENST00000419348,ENST00000421577,ENST00000443524,ENST00000451739"
156,1,ENST00000306494
156,4,"ENST00000278175,ENST00000528655,ENST00000530439,ENST00000534464"
156,1,ENST00000298317
156,4,"ENST00000257829,ENST00000527971,ENST00000529523,ENST00000531159"
155,2,"ENST00000434372,ENST00000529259"
155,3,"ENST00000227163,ENST00000378538,ENST00000533030"
155,1,ENST00000287156
155,5,"ENST00000299606,ENST00000396597,ENST00000396602,ENST00000396604,ENST00000530463"
155,5,"ENST00000347755,ENST00000411829,ENST00000524486,ENST00000525028,ENST00000534649"
155,3,"ENST00000278849,ENST00000394818,ENST00000533896"
155,8,"ENST00000265838,ENST00000672031,ENST00000672284,ENST00000672354,ENST00000672367,ENST00000672580,ENST00000672907,ENST00000673531"
155,2,"ENST00000254616,ENST00000530751"
154,7,"ENST00000310571,ENST00000376384,ENST00000535604,ENST00000536003,ENST00000541951,ENST00000544552,ENST00000544909"
154,5,"ENST00000533626,ENST00000651655,ENST00000677121,ENST00000678132,ENST00000678993"
154,7,"ENST00000325486,ENST00000325542,ENST00000535224,ENST00000537677,ENST00000539855,ENST00000540830,ENST00000541150"
154,3,"ENST00000320580,ENST00000527380,ENST00000533756"
154,4,"ENST00000279281,ENST00000526856,ENST00000530673,ENST00000533827"
154,5,"ENST00000334211,ENST00000359373,ENST00000393605,ENST00000393609,ENST00000426523"
154,3,"ENST00000298281,ENST00000530906,ENST00000690938"
154,7,"ENST00000324559,ENST00000682266,ENST00000682341,ENST00000683197,ENST00000683411,ENST00000683437,ENST00000684663"
153,1,ENST00000317811
153,6,"ENST00000531572,ENST00000533626,ENST00000640290,ENST00000651655,ENST00000677121,ENST00000678132"
153,14,"ENST00000389707,ENST00000401424,ENST00000403290,ENST00000403482,ENST00000403510,ENST00000524392,ENST00000529388,ENST00000673626,ENST00000673817,ENST00000673834,ENST00000673868,ENST00000673888,ENST00000673892,ENST00000674108"
153,4,"ENST00000426335,ENST00000524782,ENST00000533243,ENST00000627920"
153,23,"ENST00000227266,ENST00000393301,ENST00000524463,ENST00000527018,ENST00000528020,ENST00000529974,ENST00000676612,ENST00000677106,ENST00000677208,ENST00000677661,ENST00000677796,ENST00000677802,ENST00000677877,ENST00000677976,ENST00000678395,ENST00000678464,ENST00000678506,ENST00000678520,ENST00000678554,ENST00000678915,ENST00000679032,ENST00000679199,ENST00000679224"
153,10,"ENST00000322776,ENST00000415352,ENST00000528314,ENST00000528328,ENST00000529867,ENST00000529927,ENST00000530103,ENST00000532244,ENST00000532343,ENST00000647561"
153,8,"ENST00000278572,ENST00000422465,ENST00000524851,ENST00000527273,ENST00000527446,ENST00000528847,ENST00000530721,ENST00000531188"
153,13,"ENST00000299427,ENST00000533371,ENST00000642892,ENST00000643439,ENST00000644218,ENST00000644683,ENST00000644810,ENST00000644933,ENST00000645285,ENST00000645620,ENST00000647152,ENST00000647209,ENST00000682424"
153,1,ENST00000640310
153,4,"ENST00000281031,ENST00000528164,ENST00000530054,ENST00000612612"
153,4,"ENST00000228136,ENST00000524439,ENST00000525684,ENST00000528634"
153,4,"ENST00000323981,ENST00000448108,ENST00000526015,ENST00000527169"
152,10,"ENST00000380542,ENST00000399614,ENST00000430811,ENST00000448187,ENST00000526115,ENST00000526842,ENST00000528968,ENST00000529361,ENST00000530064,ENST00000620138"
152,2,"ENST00000278174,ENST00000527102"
152,1,ENST00000319023
151,9,"ENST00000325486,ENST00000325542,ENST00000537677,ENST00000538658,ENST00000539855,ENST00000540830,ENST00000541150,ENST00000541365,ENST00000544522"
151,1,ENST00000307366
151,1,ENST00000263776
151,2,"ENST00000278671,ENST00000535872"
